field name;type;description
collection_pbs_phase2_channeling_allcondition_max;INTEGER;
collection_pbs_phase2_channeling_allcondition_min;INTEGER;
collection_pbs_phase2_channeling_chargeoff_max;INTEGER;
collection_pbs_phase2_channeling_paidoff_max;INTEGER;
collection_pbs_phase2_channeling_paidoff_min;INTEGER;
collection_pbs_phase2_multifinance_active_max;INTEGER;
collection_pbs_phase2_multifinance_allcondition_max;INTEGER;
collection_pbs_phase2_multifinance_allcondition_min;INTEGER;
collection_pbs_phase2_multifinance_chargeoff_max;INTEGER;
collection_pbs_phase2_multifinance_paidoff_max;INTEGER;
collection_pbs_phase2_multifinance_paidoff_min;INTEGER;
collection_pbs_phase2_multiguna_active_max;INTEGER;
collection_pbs_phase2_multiguna_active_min;INTEGER;
collection_pbs_phase2_multiguna_allcondition_max;INTEGER;
collection_pbs_phase2_multiguna_allcondition_min;INTEGER;
collection_pbs_phase2_multiguna_chargeoff_max;INTEGER;
collection_pbs_phase2_multiguna_paidoff_max;INTEGER;
collection_pbs_phase2_multiguna_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_1_active_max;INTEGER;
collection_pbs_phase2_tenor_1_active_min;INTEGER;
collection_pbs_phase2_tenor_1_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_1_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_1_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_active_max;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_1_high_interest_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_active_max;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_1_low_interest_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_1_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_1_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_2to11_active_max;INTEGER;
collection_pbs_phase2_tenor_2to11_active_min;INTEGER;
collection_pbs_phase2_tenor_2to11_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_2to11_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_2to11_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_active_max;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_active_min;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_high_interest_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_active_max;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_active_min;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_allcondition_max;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_allcondition_min;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_chargeoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_low_interest_paidoff_min;INTEGER;
collection_pbs_phase2_tenor_2to11_paidoff_max;INTEGER;
collection_pbs_phase2_tenor_2to11_paidoff_min;INTEGER;
collection_pbs_phase2_working_capital_active_max;INTEGER;
collection_pbs_phase2_working_capital_allcondition_max;INTEGER;
collection_pbs_phase2_working_capital_allcondition_min;INTEGER;
collection_pbs_phase2_working_capital_chargeoff_max;INTEGER;
collection_pbs_phase2_working_capital_paidoff_max;INTEGER;
collection_status_10mio_20mio_plafond_max;INTEGER;
collection_status_1mio_3mio_plafond_max;INTEGER;
collection_status_20mio_100mio_plafond_max;INTEGER;
collection_status_3mio_5mio_plafond_max;INTEGER;
collection_status_500k_1mio_plafond_max;INTEGER;
collection_status_5mio_10mio_plafond_max;INTEGER;
collection_status_above_100mio_plafond_max;INTEGER;
collection_status_active_l12m_max;INTEGER;
collection_status_active_l3m_max;INTEGER;
collection_status_active_l6m_max;INTEGER;
collection_status_active_last_12months_max;INTEGER;
collection_status_active_last_12months_min;INTEGER;
collection_status_active_last_1month_max;INTEGER;
collection_status_active_last_1month_min;INTEGER;
collection_status_active_last_24months_max;INTEGER;
collection_status_active_last_24months_min;INTEGER;
collection_status_active_last_3months_max;INTEGER;
collection_status_active_last_3months_min;INTEGER;
collection_status_active_last_6months_max;INTEGER;
collection_status_active_last_6months_min;INTEGER;
collection_status_active_nonrestructured_openl3m_max;INTEGER;
collection_status_active_nonrestructured_openl3m_min;INTEGER;
collection_status_active_nonrestructured_openl6m_max;INTEGER;
collection_status_active_nonrestructured_openl6m_min;INTEGER;
collection_status_active_openl3m_max;INTEGER;
collection_status_active_openl3m_min;INTEGER;
collection_status_active_openl6m_max;INTEGER;
collection_status_active_openl6m_min;INTEGER;
collection_status_active_restructured_openl3m_max;INTEGER;
collection_status_active_restructured_openl6m_max;INTEGER;
collection_status_active_secured_last_12months_max;INTEGER;
collection_status_active_secured_last_12months_min;INTEGER;
collection_status_active_secured_last_1month_max;INTEGER;
collection_status_active_secured_last_1month_min;INTEGER;
collection_status_active_secured_last_24months_max;INTEGER;
collection_status_active_secured_last_24months_min;INTEGER;
collection_status_active_secured_last_3months_max;INTEGER;
collection_status_active_secured_last_3months_min;INTEGER;
collection_status_active_secured_last_6months_max;INTEGER;
collection_status_active_secured_last_6months_min;INTEGER;
collection_status_active_securedmortgage_last_12months_max;INTEGER;
collection_status_active_securedmortgage_last_1month_max;INTEGER;
collection_status_active_securedmortgage_last_24months_max;INTEGER;
collection_status_active_securedmortgage_last_3months_max;INTEGER;
collection_status_active_securedmortgage_last_6months_max;INTEGER;
collection_status_active_securedvehicle_last_12months_max;INTEGER;
collection_status_active_securedvehicle_last_1month_max;INTEGER;
collection_status_active_securedvehicle_last_24months_max;INTEGER;
collection_status_active_securedvehicle_last_3months_max;INTEGER;
collection_status_active_securedvehicle_last_6months_max;INTEGER;
collection_status_active_unsecured_last_12months_max;INTEGER;
collection_status_active_unsecured_last_12months_min;INTEGER;
collection_status_active_unsecured_last_1month_max;INTEGER;
collection_status_active_unsecured_last_1month_min;INTEGER;
collection_status_active_unsecured_last_24months_max;INTEGER;
collection_status_active_unsecured_last_24months_min;INTEGER;
collection_status_active_unsecured_last_3months_max;INTEGER;
collection_status_active_unsecured_last_3months_min;INTEGER;
collection_status_active_unsecured_last_6months_max;INTEGER;
collection_status_active_unsecured_last_6months_min;INTEGER;
collection_status_allcondition_last_12months_max;INTEGER;
collection_status_allcondition_last_12months_min;INTEGER;
collection_status_allcondition_last_1month_max;INTEGER;
collection_status_allcondition_last_1month_min;INTEGER;
collection_status_allcondition_last_24months_max;INTEGER;
collection_status_allcondition_last_24months_min;INTEGER;
collection_status_allcondition_last_3months_max;INTEGER;
collection_status_allcondition_last_3months_min;INTEGER;
collection_status_allcondition_last_6months_max;INTEGER;
collection_status_allcondition_last_6months_min;INTEGER;
collection_status_allcondition_nonrestructured_openl3m_max;INTEGER;
collection_status_allcondition_nonrestructured_openl3m_min;INTEGER;
collection_status_allcondition_nonrestructured_openl6m_max;INTEGER;
collection_status_allcondition_nonrestructured_openl6m_min;INTEGER;
collection_status_allcondition_openl3m_max;INTEGER;
collection_status_allcondition_openl3m_min;INTEGER;
collection_status_allcondition_openl6m_max;INTEGER;
collection_status_allcondition_openl6m_min;INTEGER;
collection_status_allcondition_restructured_openl3m_max;INTEGER;
collection_status_allcondition_restructured_openl6m_max;INTEGER;
collection_status_allcondition_secured_last_12months_max;INTEGER;
collection_status_allcondition_secured_last_12months_min;INTEGER;
collection_status_allcondition_secured_last_1month_max;INTEGER;
collection_status_allcondition_secured_last_1month_min;INTEGER;
collection_status_allcondition_secured_last_24months_max;INTEGER;
collection_status_allcondition_secured_last_24months_min;INTEGER;
collection_status_allcondition_secured_last_3months_max;INTEGER;
collection_status_allcondition_secured_last_3months_min;INTEGER;
collection_status_allcondition_secured_last_6months_max;INTEGER;
collection_status_allcondition_secured_last_6months_min;INTEGER;
collection_status_allcondition_securedmortgage_last_12months_max;INTEGER;
collection_status_allcondition_securedmortgage_last_1month_max;INTEGER;
collection_status_allcondition_securedmortgage_last_24months_max;INTEGER;
collection_status_allcondition_securedmortgage_last_3months_max;INTEGER;
collection_status_allcondition_securedmortgage_last_6months_max;INTEGER;
collection_status_allcondition_securedvehicle_last_12months_max;INTEGER;
collection_status_allcondition_securedvehicle_last_1month_max;INTEGER;
collection_status_allcondition_securedvehicle_last_24months_max;INTEGER;
collection_status_allcondition_securedvehicle_last_3months_max;INTEGER;
collection_status_allcondition_securedvehicle_last_6months_max;INTEGER;
collection_status_allcondition_unsecured_last_12months_max;INTEGER;
collection_status_allcondition_unsecured_last_12months_min;INTEGER;
collection_status_allcondition_unsecured_last_1month_max;INTEGER;
collection_status_allcondition_unsecured_last_1month_min;INTEGER;
collection_status_allcondition_unsecured_last_24months_max;INTEGER;
collection_status_allcondition_unsecured_last_24months_min;INTEGER;
collection_status_allcondition_unsecured_last_3months_max;INTEGER;
collection_status_allcondition_unsecured_last_3months_min;INTEGER;
collection_status_allcondition_unsecured_last_6months_max;INTEGER;
collection_status_allcondition_unsecured_last_6months_min;INTEGER;
collection_status_below_500k_plafond_max;INTEGER;
collection_status_btpn_active_last_12months_max;INTEGER;
collection_status_btpn_active_last_1month_max;INTEGER;
collection_status_btpn_active_last_24months_max;INTEGER;
collection_status_btpn_active_last_3months_max;INTEGER;
collection_status_btpn_active_last_6months_max;INTEGER;
collection_status_btpn_allcondition_last_12months_max;INTEGER;
collection_status_btpn_allcondition_last_1month_max;INTEGER;
collection_status_btpn_allcondition_last_24months_max;INTEGER;
collection_status_btpn_allcondition_last_3months_max;INTEGER;
collection_status_btpn_allcondition_last_6months_max;INTEGER;
collection_status_btpn_allcondition_secured_last_12months_max;INTEGER;
collection_status_btpn_allcondition_secured_last_1month_max;INTEGER;
collection_status_btpn_allcondition_secured_last_24months_max;INTEGER;
collection_status_btpn_allcondition_secured_last_3months_max;INTEGER;
collection_status_btpn_allcondition_secured_last_6months_max;INTEGER;
collection_status_btpn_nonrestructured_active_last_12months_max;INTEGER;
collection_status_btpn_nonrestructured_active_last_1month_max;INTEGER;
collection_status_btpn_nonrestructured_active_last_24months_max;INTEGER;
collection_status_btpn_nonrestructured_active_last_3months_max;INTEGER;
collection_status_btpn_nonrestructured_active_last_6months_max;INTEGER;
